msoa21cd,Income_Score
E02000001,0.06266666666666666
E02000002,0.21325
E02000003,0.13983333333333334
E02000004,0.14150000000000001
E02000005,0.1785
E02000007,0.2226
E02000008,0.2052857142857143
E02000009,0.21000000000000002
E02000010,0.22080000000000002
E02000011,0.146
E02000012,0.1212
E02000013,0.20859999999999998
E02000014,0.20433333333333334
E02000015,0.23075
E02000016,0.237
E02000017,0.1454
E02000018,0.2068
E02000019,0.1966
E02000020,0.18225
E02000021,0.1854
E02000022,0.24133333333333332
E02000023,0.23550000000000001
E02000024,0.059666666666666666
E02000025,0.11339999999999999
E02000026,0.079
E02000027,0.15466666666666665
E02000028,0.097
E02000029,0.12079999999999999
E02000030,0.07533333333333334
E02000031,0.066
E02000032,0.0678
E02000033,0.1302
E02000034,0.0996
E02000035,0.10640000000000001
E02000036,0.1115
E02000037,0.0815
E02000038,0.10533333333333333
E02000039,0.06925
E02000040,0.121
E02000041,0.123
E02000042,0.1135
E02000043,0.049
E02000044,0.1582
E02000045,0.14566666666666667
E02000046,0.08125
E02000047,0.1756
E02000048,0.0832
E02000049,0.2634
E02000050,0.13183333333333333
E02000051,0.0764
E02000052,0.09766666666666667
E02000054,0.104
E02000055,0.09383333333333334
E02000056,0.042333333333333334
E02000057,0.0815
E02000058,0.06883333333333333
E02000059,0.13583333333333333
E02000060,0.09583333333333333
E02000061,0.0728
E02000062,0.20025
E02000063,0.15475
E02000064,0.16849999999999998
E02000065,0.16025
E02000066,0.20983333333333334
E02000067,0.1674
E02000068,0.19325
E02000069,0.12775
E02000070,0.0814
E02000071,0.1176
E02000072,0.20650000000000002
E02000073,0.054
E02000074,0.1956
E02000075,0.06219999999999999
E02000077,0.0792
E02000078,0.0634
E02000079,0.0874
E02000080,0.07433333333333333
E02000081,0.0906
E02000082,0.04716666666666666
E02000083,0.1244
E02000084,0.05485714285714286
E02000085,0.072
E02000086,0.0454
E02000087,0.045399999999999996
E02000088,0.0512
E02000089,0.0522
E02000090,0.077
E02000091,0.08583333333333333
E02000092,0.18075
E02000093,0.12183333333333334
E02000094,0.10025
E02000095,0.11280000000000001
E02000096,0.0756
E02000097,0.1214
E02000098,0.15
E02000099,0.11240000000000001
E02000100,0.0696
E02000101,0.1625
E02000102,0.20000000000000004
E02000103,0.1982
E02000104,0.13275
E02000105,0.1372
E02000106,0.17833333333333334
E02000107,0.14233333333333334
E02000108,0.123
E02000110,0.1306
E02000111,0.1292
E02000112,0.11249999999999999
E02000113,0.2861666666666667
E02000114,0.1526
E02000115,0.1482
E02000116,0.21325
E02000117,0.25933333333333336
E02000118,0.11600000000000002
E02000119,0.3056666666666667
E02000120,0.1542
E02000121,0.12840000000000001
E02000122,0.11599999999999999
E02000123,0.21057142857142858
E02000124,0.1246
E02000125,0.11833333333333333
E02000126,0.28049999999999997
E02000127,0.204
E02000128,0.0838
E02000130,0.10980000000000001
E02000131,0.138
E02000132,0.09659999999999999
E02000133,0.03766666666666667
E02000134,0.10828571428571429
E02000135,0.236
E02000136,0.1125
E02000137,0.05920000000000001
E02000138,0.040999999999999995
E02000139,0.0732
E02000140,0.22879999999999998
E02000141,0.10500000000000001
E02000142,0.055600000000000004
E02000144,0.04925
E02000145,0.2222
E02000146,0.0656
E02000147,0.0332
E02000148,0.044
E02000149,0.1564
E02000150,0.057600000000000005
E02000151,0.027800000000000002
E02000152,0.14975
E02000153,0.036199999999999996
E02000154,0.071
E02000155,0.0942
E02000156,0.04
E02000157,0.0268
E02000158,0.11979999999999999
E02000159,0.03975
E02000160,0.0388
E02000161,0.0344
E02000162,0.08775
E02000163,0.05940000000000001
E02000165,0.057600000000000005
E02000166,0.144
E02000167,0.0382
E02000168,0.11299999999999999
E02000169,0.038400000000000004
E02000170,0.09079999999999999
E02000171,0.11139999999999999
E02000172,0.21733333333333335
E02000173,0.059199999999999996
E02000174,0.1674
E02000175,0.0994
E02000176,0.04725
E02000177,0.1982
E02000178,0.196
E02000179,0.13175
E02000180,0.21033333333333334
E02000181,0.0968
E02000182,0.102
E02000183,0.131
E02000184,0.2096
E02000185,0.2314
E02000186,0.149
E02000187,0.23625000000000002
E02000188,0.209
E02000191,0.0525
E02000192,0.18025000000000002
E02000193,0.092
E02000194,0.1478
E02000195,0.09419999999999999
E02000196,0.1445
E02000197,0.1256
E02000198,0.18660000000000002
E02000199,0.1318
E02000200,0.1486
E02000201,0.20259999999999997
E02000202,0.13
E02000203,0.1844
E02000204,0.13866666666666666
E02000206,0.20750000000000002
E02000207,0.18080000000000002
E02000208,0.28200000000000003
E02000209,0.1638
E02000210,0.1244
E02000211,0.0658
E02000212,0.1814
E02000213,0.24425
E02000214,0.065
E02000215,0.13583333333333333
E02000216,0.07350000000000001
E02000217,0.153
E02000218,0.17149999999999999
E02000219,0.05960000000000001
E02000221,0.18319999999999997
E02000222,0.08180000000000001
E02000223,0.2768
E02000224,0.0852
E02000225,0.1966
E02000226,0.047799999999999995
E02000227,0.11175
E02000228,0.0318
E02000229,0.24025
E02000230,0.07816666666666666
E02000231,0.0444
E02000232,0.071
E02000233,0.08700000000000001
E02000234,0.10300000000000001
E02000235,0.06125
E02000236,0.0602
E02000237,0.0846
E02000238,0.1214
E02000239,0.0786
E02000240,0.19766666666666666
E02000241,0.118
E02000242,0.098
E02000243,0.1366
E02000244,0.119
E02000245,0.23840000000000003
E02000246,0.1988
E02000247,0.18066666666666667
E02000248,0.1125
E02000249,0.144
E02000250,0.0485
E02000251,0.11339999999999999
E02000252,0.1925
E02000253,0.238
E02000254,0.1454
E02000255,0.14216666666666666
E02000256,0.06325
E02000258,0.1165
E02000259,0.08675
E02000260,0.1452
E02000261,0.14216666666666666
E02000262,0.15760000000000002
E02000263,0.17466666666666666
E02000264,0.0938
E02000265,0.16166666666666665
E02000266,0.2317142857142857
E02000267,0.12725
E02000268,0.11966666666666666
E02000269,0.0576
E02000270,0.2492
E02000271,0.05875
E02000272,0.06975
E02000275,0.17025
E02000276,0.0795
E02000277,0.1645
E02000278,0.2556
E02000279,0.239
E02000280,0.1366
E02000281,0.1798
E02000282,0.2744
E02000283,0.207
E02000284,0.11280000000000001
E02000285,0.075
E02000286,0.1028
E02000287,0.08425
E02000288,0.2225
