Year,Month,Gas_Index,Electricity_Index,Month_Num,Date
2015,January,137.33509234828497,128.29705505761845,1,2015-01-01
2015,February,136.41160949868075,128.29705505761845,2,2015-02-01
2015,March,132.8496042216359,128.29705505761845,3,2015-03-01
2015,April,132.71767810026384,128.04097311139566,4,2015-04-01
2015,May,131.92612137203164,128.04097311139566,5,2015-05-01
2015,June,131.92612137203164,127.91293213828428,6,2015-06-01
2015,July,131.92612137203164,127.91293213828428,7,2015-07-01
2015,August,131.92612137203164,127.91293213828428,8,2015-08-01
2015,September,129.023746701847,127.91293213828428,9,2015-09-01
2015,October,129.023746701847,127.91293213828428,10,2015-10-01
2015,November,129.023746701847,127.91293213828428,11,2015-11-01
2015,December,129.023746701847,127.91293213828428,12,2015-12-01
2016,January,129.023746701847,127.91293213828428,1,2016-01-01
2016,February,128.10026385224273,127.91293213828428,2,2016-02-01
2016,March,124.80211081794197,127.91293213828428,3,2016-03-01
2016,April,123.08707124010554,127.65685019206148,4,2016-04-01
2016,May,123.08707124010554,127.65685019206148,5,2016-05-01
2016,June,123.08707124010554,127.65685019206148,6,2016-06-01
2016,July,123.08707124010554,127.65685019206148,7,2016-07-01
2016,August,123.08707124010554,127.65685019206148,8,2016-08-01
2016,September,123.08707124010554,127.65685019206148,9,2016-09-01
2016,October,123.08707124010554,127.65685019206148,10,2016-10-01
2016,November,123.08707124010554,127.65685019206148,11,2016-11-01
2016,December,123.08707124010554,127.65685019206148,12,2016-12-01
2017,January,122.55936675461744,127.65685019206148,1,2017-01-01
2017,February,122.55936675461744,127.65685019206148,2,2017-02-01
2017,March,122.55936675461744,128.93725992317545,3,2017-03-01
2017,April,121.89973614775728,132.13828425096034,4,2017-04-01
2017,May,122.42744063324538,137.51600512163895,5,2017-05-01
2017,June,122.42744063324538,137.51600512163895,6,2017-06-01
2017,July,123.08707124010554,139.18053777208706,7,2017-07-01
2017,August,123.08707124010554,139.18053777208706,8,2017-08-01
2017,September,123.08707124010554,139.18053777208706,9,2017-09-01
2017,October,123.08707124010554,142.25352112676055,10,2017-10-01
2017,November,123.2189973614776,142.25352112676055,11,2017-11-01
2017,December,123.2189973614776,142.25352112676055,12,2017-12-01
2018,January,123.35092348284962,142.25352112676055,1,2018-01-01
2018,February,123.35092348284962,142.25352112676055,2,2018-02-01
2018,March,123.35092348284962,142.25352112676055,3,2018-03-01
2018,April,123.7467018469657,143.5339308578745,4,2018-04-01
2018,May,123.87862796833775,143.66197183098592,5,2018-05-01
2018,June,126.91292875989446,146.86299615877084,6,2018-06-01
2018,July,128.36411609498683,149.42381562099874,7,2018-07-01
2018,August,128.36411609498683,149.42381562099874,8,2018-08-01
2018,September,129.81530343007915,152.11267605633802,9,2018-09-01
2018,October,132.4538258575198,155.18565941101156,10,2018-10-01
2018,November,132.4538258575198,155.18565941101156,11,2018-11-01
2018,December,132.4538258575198,155.18565941101156,12,2018-12-01
2019,January,121.2401055408971,147.6312419974392,1,2019-01-01
2019,February,121.37203166226914,147.7592829705506,2,2019-02-01
2019,March,121.37203166226914,147.7592829705506,3,2019-03-01
2019,April,132.5857519788918,163.76440460947506,4,2019-04-01
2019,May,132.5857519788918,163.76440460947506,5,2019-05-01
2019,June,132.5857519788918,163.76440460947506,6,2019-06-01
2019,July,132.5857519788918,163.76440460947506,7,2019-07-01
2019,August,132.5857519788918,163.76440460947506,8,2019-08-01
2019,September,132.5857519788918,163.76440460947506,9,2019-09-01
