Borough,x,y,xend,yend
Bolton,371095.0,416703.0940000005,371122.8030000003,416674.3289999999
Bolton,370858.0,416452.8120000009,371095.0,416703.0940000005
Bolton,370808.1869999999,416372.5,370858.0,416452.8120000009
Bolton,370804.6869999999,416300.4059999995,370808.1869999999,416372.5
Bolton,370659.9060000004,416257.5940000005,370804.6869999999,416300.4059999995
Bolton,370636.09700000007,416214.00100000016,370659.9060000004,416257.5940000005
Bolton,370612.0939999996,416215.6879999992,370636.09700000007,416214.00100000016
Bolton,370612.0939999996,416215.6879999992,370620.1840000004,416246.8010000009
Bolton,370561.6869999999,416194.9059999995,370620.1840000004,416246.8010000009
Bolton,370423.0939999996,416265.0940000005,370561.6869999999,416194.9059999995
Bolton,370350.6869999999,416247.0,370423.0939999996,416265.0940000005
Bolton,370350.6869999999,416247.0,370360.0159999998,416203.8320000004
Bolton,370328.50100000016,416194.5940000005,370360.0159999998,416203.8320000004
Bolton,370328.50100000016,416194.5940000005,370415.6869999999,415928.8120000009
Bolton,370415.6869999999,415928.8120000009,370426.9060000004,415706.2190000005
Bolton,370426.9060000004,415706.2190000005,370474.8059999999,415670.3059999999
Bolton,370392.4060000004,415543.09300000034,370474.8059999999,415670.3059999999
Bolton,370358.0939999996,415297.3120000009,370392.4060000004,415543.09300000034
Bolton,370358.0939999996,415297.3120000009,370438.2199999997,415130.8780000005
Bolton,370380.0939999996,415042.0940000005,370438.2199999997,415130.8780000005
Bolton,370293.0,414673.5,370380.0939999996,415042.0940000005
Bolton,370197.1869999999,414726.9059999995,370293.0,414673.5
Bolton,370197.1869999999,414726.9059999995,370211.0939999996,414677.50100000016
Bolton,370108.0,414694.9059999995,370211.0939999996,414677.50100000016
Bolton,370011.0,414582.7809999995,370108.0,414694.9059999995
Bolton,369915.8119999999,414561.8129999992,370011.0,414582.7809999995
Bolton,369884.5,414450.3120000009,369915.8119999999,414561.8129999992
Bolton,369786.3119999999,414328.8120000009,369884.5,414450.3120000009
Bolton,369786.3119999999,414328.8120000009,369905.2810000004,414251.8120000009
Bolton,369905.2810000004,414251.8120000009,369986.0,414271.6870000009
Bolton,369986.0,414271.6870000009,370051.8130000001,414197.1870000009
Bolton,370051.8130000001,414197.1870000009,370098.5,414197.0940000005
Bolton,370098.5,414197.0940000005,370123.00100000016,414120.4059999995
Bolton,370045.4079999998,414080.3080000002,370123.00100000016,414120.4059999995
Bolton,370045.4079999998,414080.3080000002,370082.5920000002,414031.3110000007
Bolton,370000.011,413963.1044999994,370082.5920000002,414031.3110000007
Bolton,369953.4060000004,413977.3120000009,370000.011,413963.1044999994
Bolton,369834.3119999999,413922.7809999995,369953.4060000004,413977.3120000009
Bolton,369689.68900000025,413818.90699999966,369834.3119999999,413922.7809999995
Bolton,369445.8119999999,414038.6870000009,369689.68900000025,413818.90699999966
Bolton,369442.2110000001,414073.8990000002,369445.8119999999,414038.6870000009
Bolton,369310.3113000002,414020.9279999994,369442.2110000001,414073.8990000002
Bolton,369272.9060000004,414005.9059999995,369310.3113000002,414020.9279999994
Bolton,369202.0,413925.0940000005,369272.9060000004,414005.9059999995
Bolton,368978.99899999984,413806.6870000009,369202.0,413925.0940000005
Bolton,368805.7189999996,413439.75,368978.99899999984,413806.6870000009
Bolton,371949.2410000004,414454.1649999991,372121.60699999984,414316.79099999927
Bolton,371899.6869999999,414525.3120000009,371949.2410000004,414454.1649999991
Bolton,371899.6869999999,414525.3120000009,371932.0,414712.9059999995
Bolton,371919.3119999999,415470.3120000009,371932.0,414712.9059999995
Bolton,371628.1869999999,415848.0940000005,371919.3119999999,415470.3120000009
Bolton,371493.3119999999,416181.8120000009,371628.1869999999,415848.0940000005
Bolton,371122.8030000003,416674.3289999999,371493.3119999999,416181.8120000009
Bolton,373040.3119999999,414398.8120000009,373292.1974,414363.31159999967
Bolton,372741.0839999998,414321.65699999966,373040.3119999999,414398.8120000009
Bolton,372581.9840000002,414220.9480000008,372741.0839999998,414321.65699999966
Bolton,372234.9060000004,414220.0,372581.9840000002,414220.9480000008
Bolton,372121.60699999984,414316.79099999927,372234.9060000004,414220.0
Bolton,364189.1059999997,412745.8599999994,364293.9689999996,412767.3000000008
Bolton,364152.0939999996,412700.7190000005,364189.1059999997,412745.8599999994
Bolton,363964.5455,412626.5985000003,364152.0939999996,412700.7190000005
Bolton,363887.0,412651.1870000009,363964.5455,412626.5985000003
Bolton,363866.2000000002,412597.8000000008,363887.0,412651.1870000009
Bolton,363719.0,412537.4059999995,363866.2000000002,412597.8000000008
Bolton,363703.6667999998,412503.0500000008,363719.0,412537.4059999995
Bolton,363633.9500000002,412482.8939999994,363703.6667999998,412503.0500000008
Bolton,363599.09700000007,412514.50100000016,363633.9500000002,412482.8939999994
Bolton,363559.0939999996,412451.00100000016,363599.09700000007,412514.50100000016
Bolton,363527.9859999996,412186.7699999996,363559.0939999996,412451.00100000016
Bolton,363320.4060000004,412121.0940000005,363527.9859999996,412186.7699999996
Bolton,363314.5,412069.2809999995,363320.4060000004,412121.0940000005
Bolton,363265.0029999996,412041.8080000002,363314.5,412069.2809999995
Bolton,363219.7189999996,411974.375,363265.0029999996,412041.8080000002
Bolton,363219.7189999996,411974.375,363220.625,411835.28199999966
Bolton,363193.5675999997,411819.2993999999,363220.625,411835.28199999966
Bolton,363179.4060000004,411721.2190000005,363193.5675999997,411819.2993999999
Bolton,363105.5,411672.6559999995,363179.4060000004,411721.2190000005
Bolton,363099.0,411585.2190000005,363105.5,411672.6559999995
Bolton,363041.8370000003,411515.1459999997,363099.0,411585.2190000005
Bolton,374725.1880000001,415035.0940000005,375025.40299999993,414992.0940000005
Bolton,374636.9060000004,415099.6879999992,374725.1880000001,415035.0940000005
Bolton,374575.9040000001,415233.09300000034,374636.9060000004,415099.6879999992
Bolton,374531.91530000046,415227.08520000055,374575.9040000001,415233.09300000034
Bolton,373788.7189999996,415147.7190000005,374531.91530000046,415227.08520000055
Bolton,373729.96800000034,415091.9379999992,373788.7189999996,415147.7190000005
Bolton,373591.8130000001,414798.9059999995,373729.96800000034,415091.9379999992
Bolton,373591.8130000001,414798.9059999995,373627.1869999999,414786.1870000009
Bolton,373627.1869999999,414786.1870000009,373643.0,414711.5
Bolton,373561.5,414302.4059999995,373643.0,414711.5
Bolton,373407.0939999996,414281.8120000009,373561.5,414302.4059999995
Bolton,373347.9060000004,414354.6870000009,373407.0939999996,414281.8120000009
Bolton,373292.1974,414363.31159999967,373347.9060000004,414354.6870000009
Bolton,375204.4994000001,410108.39660000056,375205.5939999996,410192.25
Bolton,375163.6869999999,410223.0,375205.5939999996,410192.25
Bolton,375163.6869999999,410223.0,375171.6880000001,410320.5
Bolton,375171.6880000001,410320.5,375216.0186999999,410372.8868000005
Bolton,375216.0186999999,410372.8868000005,375269.00100000016,410403.3120000009
Bolton,375269.00100000016,410403.3120000009,375296.2810000004,410497.2809999995
Bolton,375219.6880000001,410576.1870000009,375296.2810000004,410497.2809999995
Bolton,375165.9298,410704.3323999997,375219.6880000001,410576.1870000009
Bolton,375150.8585000001,410809.80450000055,375165.9298,410704.3323999997
Bolton,375150.8585000001,410809.80450000055,375349.65500000026,410864.66300000064
Bolton,375349.65500000026,410864.66300000064,375692.3130000001,411070.4059999995
Bolton,375692.3130000001,411070.4059999995,375722.49899999984,411117.9059999995
Bolton,375648.68900000025,411268.2190000005,375722.49899999984,411117.9059999995
Bolton,375648.68900000025,411268.2190000005,375709.0939999996,411331.0
Bolton,375709.0939999996,411331.0,375817.0,411576.5960000008
Bolton,375817.0,411576.5960000008,375847.25,411758.3440000005
