MSOA21CD,LAT,LONG,msoa21cd,ladnm,Eligible,In_Sample
E02000984,53.624359130859375,-2.4475600719451904,E02000984,Bolton,0,0
E02000985,53.61288070678711,-2.407020092010498,E02000985,Bolton,0,0
E02000986,53.61040115356445,-2.428849935531616,E02000986,Bolton,0,0
E02000987,53.601661682128906,-2.547489881515503,E02000987,Bolton,1,0
E02000988,53.5994987487793,-2.4341800212860107,E02000988,Bolton,1,0
E02000989,53.612518310546875,-2.387089967727661,E02000989,Bolton,0,0
E02000990,53.60805130004883,-2.521559953689575,E02000990,Bolton,0,0
E02000991,53.60670852661133,-2.473910093307495,E02000991,Bolton,0,0
E02000992,53.591129302978516,-2.590519905090332,E02000992,Bolton,0,0
E02000993,53.59267044067383,-2.413209915161133,E02000993,Bolton,1,0
E02000994,53.59115982055664,-2.4408600330352783,E02000994,Bolton,1,0
E02000995,53.590938568115234,-2.485680103302002,E02000995,Bolton,1,0
E02000996,53.586761474609375,-2.3880600929260254,E02000996,Bolton,1,0
E02000997,53.580078125,-2.526279926300049,E02000997,Bolton,0,0
E02000998,53.582061767578125,-2.4511098861694336,E02000998,Bolton,1,0
E02000999,53.58689880371094,-2.4300599098205566,E02000999,Bolton,1,0
E02001000,53.57796859741211,-2.4100899696350098,E02001000,Bolton,1,0
E02001001,53.57572937011719,-2.46409010887146,E02001001,Bolton,0,0
E02001002,53.57072830200195,-2.389669895172119,E02001002,Bolton,1,0
E02001003,53.573020935058594,-2.479569911956787,E02001003,Bolton,0,0
E02001004,53.570159912109375,-2.44635009765625,E02001004,Bolton,1,0
E02001005,53.56877899169922,-2.4184000492095947,E02001005,Bolton,1,0
E02001006,53.56298065185547,-2.4486100673675537,E02001006,Bolton,1,0
E02001007,53.560550689697266,-2.3715500831604004,E02001007,Bolton,0,0
E02001008,53.56108093261719,-2.4382400512695312,E02001008,Bolton,1,0
E02001009,53.5430908203125,-2.454169988632202,E02001009,Bolton,1,0
E02001010,53.55656051635742,-2.3978099822998047,E02001010,Bolton,1,0
E02001011,53.55141830444336,-2.504610061645508,E02001011,Bolton,0,0
E02001012,53.55181121826172,-2.4250099658966064,E02001012,Bolton,1,0
E02001013,53.548370361328125,-2.482419967651367,E02001013,Bolton,0,0
E02001014,53.556968688964844,-2.539370059967041,E02001014,Bolton,1,0
E02001015,53.54541015625,-2.394819974899292,E02001015,Bolton,1,0
E02001016,53.543701171875,-2.421250104904175,E02001016,Bolton,1,0
E02001017,53.54008102416992,-2.3664700984954834,E02001017,Bolton,0,0
E02001018,53.53633117675781,-2.530900001525879,E02001018,Bolton,0,0
E02001019,53.64950942993164,-2.332289934158325,E02001019,Bury,0,0
E02001020,53.62942123413086,-2.3363800048828125,E02001020,Bury,0,0
E02001021,53.62480926513672,-2.3620901107788086,E02001021,Bury,0,0
E02001022,53.61832809448242,-2.29613995552063,E02001022,Bury,0,0
E02001023,53.61259078979492,-2.31496000289917,E02001023,Bury,0,0
E02001024,53.60441970825195,-2.327970027923584,E02001024,Bury,0,0
E02001025,53.604000091552734,-2.268280029296875,E02001025,Bury,1,0
E02001026,53.59608840942383,-2.2896199226379395,E02001026,Bury,1,0
E02001027,53.592628479003906,-2.316009998321533,E02001027,Bury,1,0
E02001028,53.59278869628906,-2.3315200805664062,E02001028,Bury,0,0
E02001029,53.587100982666016,-2.2997701168060303,E02001029,Bury,1,0
E02001030,53.58279037475586,-2.35086989402771,E02001030,Bury,0,0
E02001031,53.573829650878906,-2.279819965362549,E02001031,Bury,1,0
E02001032,53.57400131225586,-2.33174991607666,E02001032,Bury,0,0
E02001033,53.567928314208984,-2.3132901191711426,E02001033,Bury,1,0
E02001034,53.562278747558594,-2.3342599868774414,E02001034,Bury,1,0
E02001035,53.56391143798828,-2.2799899578094482,E02001035,Bury,0,0
E02001036,53.55693817138672,-2.3406898975372314,E02001036,Bury,0,0
E02001037,53.53861999511719,-2.317379951477051,E02001037,Bury,0,0
E02001038,53.544620513916016,-2.29475998878479,E02001038,Bury,1,0
E02001039,53.54914093017578,-2.2758700847625732,E02001039,Bury,1,0
E02001040,53.54716873168945,-2.251810073852539,E02001040,Bury,0,0
E02001041,53.528839111328125,-2.272939920425415,E02001041,Bury,1,0
E02001042,53.529869079589844,-2.2830300331115723,E02001042,Bury,0,0
E02001043,53.529029846191406,-2.302449941635132,E02001043,Bury,1,0
E02001044,53.52330017089844,-2.264539957046509,E02001044,Bury,0,0
E02001045,53.53437042236328,-2.224940061569214,E02001045,Manchester,1,1
E02001046,53.5261116027832,-2.214050054550171,E02001046,Manchester,1,1
E02001047,53.52463912963867,-2.1839399337768555,E02001047,Manchester,1,1
E02001048,53.530338287353516,-2.2493999004364014,E02001048,Manchester,1,1
E02001049,53.514991760253906,-2.171109914779663,E02001049,Manchester,1,1
E02001050,53.51533889770508,-2.2152299880981445,E02001050,Manchester,1,1
E02001051,53.51369094848633,-2.194010019302368,E02001051,Manchester,1,1
E02001052,53.51036834716797,-2.2321999073028564,E02001052,Manchester,1,1
E02001053,53.50476837158203,-2.206899881362915,E02001053,Manchester,1,1
E02001055,53.49802017211914,-2.1711599826812744,E02001055,Manchester,1,1
E02001056,53.49134826660156,-2.17822003364563,E02001056,Manchester,1,1
E02001059,53.48101043701172,-2.190890073776245,E02001059,Manchester,1,1
E02001061,53.47023010253906,-2.1695098876953125,E02001061,Manchester,1,1
E02001062,53.4681396484375,-2.2183499336242676,E02001062,Manchester,1,1
E02001063,53.46337127685547,-2.244570016860962,E02001063,Manchester,0,1
E02001064,53.463619232177734,-2.195319890975952,E02001064,Manchester,1,1
E02001065,53.46234130859375,-2.159329891204834,E02001065,Manchester,1,1
E02001066,53.45650863647461,-2.2091801166534424,E02001066,Manchester,1,1
E02001067,53.45555877685547,-2.1777100563049316,E02001067,Manchester,1,1
E02001068,53.45433044433594,-2.2474400997161865,E02001068,Manchester,1,1
E02001069,53.452911376953125,-2.2313599586486816,E02001069,Manchester,1,1
E02001070,53.45161819458008,-2.2130300998687744,E02001070,Manchester,1,1
E02001072,53.45058059692383,-2.2620201110839844,E02001072,Manchester,1,1
E02001073,53.44524002075195,-2.2763500213623047,E02001073,Manchester,0,1
E02001074,53.445228576660156,-2.2445600032806396,E02001074,Manchester,1,1
E02001075,53.44269943237305,-2.1862900257110596,E02001075,Manchester,1,1
E02001076,53.44330978393555,-2.217400074005127,E02001076,Manchester,0,1
E02001077,53.438148498535156,-2.267549991607666,E02001077,Manchester,0,1
E02001078,53.43730163574219,-2.1915700435638428,E02001078,Manchester,1,1
E02001079,53.43606185913086,-2.2450599670410156,E02001079,Manchester,1,1
E02001080,53.435489654541016,-2.214669942855835,E02001080,Manchester,0,1
E02001081,53.43278121948242,-2.2828800678253174,E02001081,Manchester,0,1
E02001082,53.43014907836914,-2.2357399463653564,E02001082,Manchester,0,1
E02001083,53.429080963134766,-2.246890068054199,E02001083,Manchester,0,1
E02001084,53.4255485534668,-2.2204999923706055,E02001084,Manchester,0,1
E02001085,53.42702102661133,-2.2079598903656006,E02001085,Manchester,1,1
E02001086,53.42277908325195,-2.260080099105835,E02001086,Manchester,1,1
E02001087,53.41604995727539,-2.233720064163208,E02001087,Manchester,0,1
E02001088,53.409908294677734,-2.283479928970337,E02001088,Manchester,1,1
E02001089,53.411170959472656,-2.2269399166107178,E02001089,Manchester,0,1
E02001090,53.408260345458984,-2.2582900524139404,E02001090,Manchester,0,1
